Domain,With Religion,No Religion,Total
authority and autonomy;religion,13345,0,13345
authority and autonomy;family,1625,9157,10782
authority and autonomy;political legitimacy,644,6181,6825
authority and autonomy;trust,50,2034,2084
family;religion,1783,0,1783
political legitimacy;trust,11,108,119
family;trust,8,12,20
religion;trust,18,0,18
political legitimacy;religion,12,0,12
authority and autonomy,0,4,4
trust,1,2,3
family;political legitimacy,0,2,2
religion,1,0,1
democracy and authority;religion,1,0,1
authority and autonomy;immigration,1,0,1
